accession_number,dataset_url,dataset_name,num_subjects,modalities,dx_status,ages,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author
ds002647,https://openneuro.org/datasets/ds002647/versions/1.0.1,Isometric exercise facilitates attention to salient events in women via the noradrenergic system,91,"T1w, bold, events",,"18-25, 26-34, 35-50, 51-65, 66+",10.1016/j.neuroimage.2020.116560,,"Kennedy, Briana"
ds002655,https://openneuro.org/datasets/ds002655/versions/1.0.1,The medial temporal lobe supports mnemonic discrimination for event duration,35,"MRI - func, MRI - anat",Healthy / Control,,,,"Kirwan, C. Brock"
ds002672,https://openneuro.org/datasets/ds002672/versions/1.0.0,Robust functional mapping of layer-selective responses in human lateral geniculate nucleus with high-resolution 7T fMRI,5,"MRI - func, MRI - anat",,,,,"Zhang, Peng"
ds002674,https://openneuro.org/datasets/ds002674/versions/1.0.6,28andMe,1,"MRI - anat, MRI - func",Healthy / Control,,,https://doi.org/10.1101/866913,"Mueller, Joshua M."
ds002675,https://openneuro.org/datasets/ds002675/versions/1.0.0,The language network reemerges during recovery from severe traumatic brain injury,24,"MRI - func, MRI - anat",,,https://doi.org/10.1101/2020.01.10.20017004,,"Edlow, Brian L."
ds002680,https://openneuro.org/datasets/ds002680/versions/1.2.0,Go-nogo categorization and detection task,14,EEG,Healthy / Control,,10.1016/j.cogbrainres.2003.11.010,https://www.ncbi.nlm.nih.gov/pubmed/15019707,"Delorme, Arnaud"
ds002684,https://openneuro.org/datasets/ds002684/versions/1.0.0,Kung Fu Panda,4,"MRI - func, MRI - anat",Healthy / Control,"26-34, 35-50",,,"Weldon, Kimberly B."
ds002685,https://openneuro.org/datasets/ds002685/versions/2.0.0,IBC,13,"MRI - func, MRI - anat, MRI - dwi",Healthy / Control,"26-34, 35-50",10.1038/sdata.2018.105,,"Thirion, Bertrand"
ds002687,https://openneuro.org/datasets/ds002687/versions/1.2.0,"Reward, Working Memory, and Feedback Processing",24,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Tennekoon, Michael"
ds002691,https://openneuro.org/datasets/ds002691/versions/1.1.0,Internal attention study,20,EEG,Healthy / Control,"18-25, 35-50, 51-65, 66+",ISSN 1970-223X,"Radin, D., Michel, L., Pierce, A., Delorme, A. (2015) Psychophysical interactions with a single-photon double-slit optical system. Quantum Biosystems, Vol 6, Issue 1, Page 82-98.","Radin, Dean"
ds002702,https://openneuro.org/datasets/ds002702/versions/1.0.1,High-field 7T Visual fMRI Datasets,11,"MRI - func, MRI - anat",Healthy / Control,,"https://doi.org/10.1016/j.neuroimage.2019.02.006,https://doi.org/10.1523/JNEUROSCI.2106-19.2020,https://doi.org/10.1101/868455",,"Ugurbil, Kamil"
ds002711,https://openneuro.org/datasets/ds002711/versions/1.1.0,Smiley,15,"MRI - anat, MRI - func",Healthy / Control,"18-25, 26-34, 35-50, 51-65",,"Chatzichristos, C. and Morante, M. and Andreadis, A. and Kofidis, E. and Kopsinis, Y. and Theodoridis, S. Emojis influence autobiographical memory retrieval from reading words: An fMRI-based study, Plos One, 2020","Theodoridis, Sergios"
ds002712,https://openneuro.org/datasets/ds002712/versions/1.0.1,Numbers and Letters,25,"T1w, channels, events, meg",,,,,"Carreiras, Manuel"
ds002715,https://openneuro.org/datasets/ds002715/versions/1.0.0,AVScenes_Blind,8,"MRI - func, MRI - anat",,,,,"Amedi, Amir"
ds002717,https://openneuro.org/datasets/ds002717/versions/1.0.1,Unexplained Repeated Pregnancy Loss is Associated with Altered Perceptual and Brain Responses to Male Body-Odor,59,"MRI - func, MRI - anat",Unexplained Repeated Pregnancy Loss,,https://doi.org/10.1101/2020.02.06.937029,,"Sobel, Noam"
ds002718,https://openneuro.org/datasets/ds002718/versions/1.0.5,Face processing EEG dataset for EEGLAB,18,"MRI - anat, EEG",,"18-25, 26-34",,,"Henson, Richard N"
ds002720,https://openneuro.org/datasets/ds002720/versions/1.0.1,BCItempo,18,EEG,,"18-25, 26-34",,"Daly, I., Hallowell, J., Hwang, F., Kirke, A., Malik, A., Roesch, E., Weaver, J., Williams, D., Miranda, E. R., Nasuto, S. J., �Changes in music tempo entrain movement related brain activity�, in Proc. 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC'14), Chicago, Illinois, USA; pp. , 2014a.","Nasuto, Slawomir J."
ds002721,https://openneuro.org/datasets/ds002721/versions/1.0.3,filmClips,31,EEG,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,"[1] Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., �Neural and physiological data from participants listening to affective music�, Scientific Data, 2018. [2] Daly, I., Malik, A., Hwang, F., Roesch, E., Weaver, J., Kirke, A., Williams, D., Miranda, E. R., Nasuto, S. J., �Neural correlates of emotional responses to music: an EEG study�, Neuroscience Letters, 573: 52-7, 2014; doi: 10.1016/j.neulet.2014.05.003. [3] Daly, I., Hallowell, J., Hwang, F., Kirke, A., Malik, A., Roesch, E., Weaver, J., Williams, D., Miranda, E., Nasuto, S.J., �Changes in music tempo entrain movement related brain activity�, Proc. IEEE EMBC 2014, pp.4595-8; doi: 10.1109/EMBC.2014.6944647 [4] Daly, I., Williams, D., Hallowell, J., Hwang, F., Kirke, A., Malik, A., Weaver, J., Miranda, E., Nasuto, S.J., �Music-induced emotions can be predicted from a combination of brain activity and acoustic features�, Brain and Cognition, 101:1-11, 2015b; doi: 10.1016/j.bandc.2015.08.003","Nasuto, Slawomir J."
ds002722,https://openneuro.org/datasets/ds002722/versions/1.0.1,phBCMIcalibration,19,"channels, eeg, events",Healthy / Control,"18-25, 26-34",,"[1] Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., �Neural and physiological data from participants listening to affective music�, Scientific Data, 2018. [2] Daly, I., Williams, D., Hwang, F., Kirke, A., Malik, A., Roesch, E., Weaver, J., Miranda, E. R., Nasuto, S. J., �Identifying music-induced emotions from EEG for use in brain-computer music interfacing�, in Proc. 4th Workshop on Affective Brain-Computer Interfaces at the 6th International Conference on Affective Computing and Intelligent Interaction (ACII2015). Xi�an, China, 21-25 September 2015. If you use this dataset in your study please cite these references, as well as the following reference: [3] Williams, D., Kirke, A., Miranda, E.R., Daly, I., Hwang, F., Weaver, J., Nasuto, S.J., �Affective Calibration of Musical Feature Sets in an Emotionally Intelligent Music Composition System�, ACM Trans. Appl. Percept. 14, 3, Article 17 (May 2017), 13 pages. DOI: https://doi.org/10.1145/3059005  Thank you for your interest in our work.","Nasuto, Slawomir J."
ds002723,https://openneuro.org/datasets/ds002723/versions/1.1.0,phBCMItesting,8,"channels, eeg, events",,"18-25, 26-34",,"[1] Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., “Neural and physiological data from participants listening to affective music”, Scientific Data, 2018. [2] Daly, I., Williams, D., Hwang, F., Kirke, A., Malik, A., Weaver, J., Miranda, E. R., Nasuto, S. J., “Affective Brain-Computer Music Interfacing”, Journal of Neural Engineering, 13:4, July 2016. http://dx.doi.org/10.1088/1741-2560/13/4/046022 If you use this dataset in your study please cite these references, as well as the following reference: [3] Williams, D., Kirke, A., Miranda, E.R., Daly, I., Hwang, F., Weaver, J., Nasuto, S.J., “Affective Calibration of Musical Feature Sets in an Emotionally Intelligent Music Composition System”, ACM Trans. Appl. Percept. 14, 3, Article 17 (May 2017), 13 pages. DOI: https://doi.org/10.1145/3059005","Nasuto, Slawomir J."
ds002724,https://openneuro.org/datasets/ds002724/versions/1.0.1,phBCMItraining,10,"channels, eeg, events",,18-25,,"[1] Daly, I., Nicolaou, N., Williams, D., Hwang, F., Kirke, A., Miranda, E., Nasuto, S.J., �Neural and physiological data from participants listening to affective music�, Scientific Data, 2018.  [2] Daly, I., Williams, D., Hwang, F., Kirke, A., Malik, A., Roesch, E., Weaver, J., Miranda, E. R., Nasuto, S. J., �Identifying music-induced emotions from EEG for use in brain-computer music interfacing�, in Proc. 4th Workshop on Affective Brain-Computer Interfaces at the 6th International Conference on Affective Computing and Intelligent Interaction (ACII2015). Xi�an, China, 21-25 September 2015. If you use this dataset in your study please cite these references, as well as the following reference:  [3] Williams, D., Kirke, A., Miranda, E.R., Daly, I., Hwang, F., Weaver, J., Nasuto, S.J., �Affective Calibration of Musical Feature Sets in an Emotionally Intelligent Music Composition System�, ACM Trans. Appl. Percept. 14, 3, Article 17 (May 2017), 13 pages. DOI: https://doi.org/10.1145/3059005","Nasuto, Slawomir J."
ds002725,https://openneuro.org/datasets/ds002725/versions/1.0.0,A dataset recording joint EEG-fMRI during affective music listening,21,"T1w, channels, eeg, events, bold",,"18-25, 26-34",,"[1] Daly, I., Williams, D., Hwang, F., Kirke, A., Miranda, E. R., & Nasuto, S. J. (2019). Electroencephalography reflects the activity of sub-cortical brain regions during approach-withdrawal behaviour while listening to music. Scientific Reports, 9(1), 9415. https://doi.org/10.1038/s41598-019-45105-2","Nasuto, Slawomir J."
ds002726,https://openneuro.org/datasets/ds002726/versions/1.0.1,Structural brain network of gifted children,29,MRI - anat,"Healthy/Control, gifted children",,10.1007/s00429-019-01914-9,,"Bullmore, Edward T."
ds002727,https://openneuro.org/datasets/ds002727/versions/1.0.2,EMOTIVE IDIOMS,23,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",10.1016/j.neuropsychologia.2019.05.020,,"Jacobs, Arthur"
ds002731,https://openneuro.org/datasets/ds002731/versions/1.0.2,DRM False Memory,59,"MRI - func, MRI - anat",Healthy / Control,18-25,10.3758/s13421-013-0300-2,,"Xue, Gui"
ds002732,https://openneuro.org/datasets/ds002732/versions/1.0.0,,30,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",,,"Tobler, Philippe N."
ds002733,https://openneuro.org/datasets/ds002733/versions/1.0.1,Bids Pilot Project,1,"MRI - anat, MRI - func",,,,,"Test, "
ds002734,https://openneuro.org/datasets/ds002734/versions/1.0.2,Evidence Accumulation in Value-Based decisions,22,"MRI - func, MRI - anat",Healthy / Control,,10.1038/ncomms15808,,"Philiastides, M"
ds002735,https://openneuro.org/datasets/ds002735/versions/1.0.2,Headmold,11,"MRI - func, MRI - anat",Healthy / Control,,10.1016/j.neuroimage.2019.01.016,,"Jones, Rebecca M."
ds002737,https://openneuro.org/datasets/ds002737/versions/1.0.1,multibandCFtests,1,"MRI - func, MRI - anat",Healthy / Control,,,,"Braver, Todd S."
ds002738,https://openneuro.org/datasets/ds002738/versions/1.0.2,rewardBeast,36,"MRI - func, MRI - anat",Healthy / Control,,10.1523/JNEUROSCI.0075-18.2018,,"Poldrack, Russell A."
ds002739,https://openneuro.org/datasets/ds002739/versions/1.0.0,Simultaneous EEG-fMRI - Confidence in perceptual decisions,24,"MRI - func, MRI - anat",Healthy / Control,,10.7554/eLife.38293,,"Philiastides, Marios G."
ds002741,https://openneuro.org/datasets/ds002741/versions/1.0.2,Animated caricatures fMRI study,30,"MRI - func, MRI - anat",Healthy / Control,,"10.1016/j.neuroimage.2017.06.023, 10.1016/j.cogpsych.2019.02.002, 10.1523/JNEUROSCI.3621-15.2016, 10.1016/j.neuropsychologia.2015.10.010, 10.1093/cercor/bhu083, 10.1523/JNEUROSCI.2992-13.2013, 10.1523/JNEUROSCI.1992-12.2012",,"Wooley, C"
ds002743,https://openneuro.org/datasets/ds002743/versions/1.0.1,TEST1,3,MRI - anat,,26-34,,,"AR, "
ds002748,https://openneuro.org/datasets/ds002748/versions/1.0.5,Resting state with closed eyes for patients with depression and healthy participants,72,"MRI - anat, MRI - func",Depression,"18-25, 26-34, 35-50, 51-65",10.1155/2021/8846097," Bezmaternykh D.D., Melnikov M.Y., Savelov A.A. et al. Brain Networks Connectivity in Mild to Moderate Depression: Resting State fMRI Study with Implications to Nonpharmacological Treatment. Neural Plasticity, 2021. V. 2021. № 8846097. PP. 1-15. DOI: 10.1155/2021/8846097","ED, Petrovskii"
ds002750,https://openneuro.org/datasets/ds002750/versions/1.0.1,YanDataBIDS,3,"MRI - func, MRI - anat",,,,,"Yan, Chao-Gan"
ds002761,https://openneuro.org/datasets/ds002761/versions/1.1.2,memoryreplay,25,MEG,Healthy / Control,,,,"Dolan, Raymond J."
ds002766,https://openneuro.org/datasets/ds002766/versions/3.0.2,Cast-induced plasticity,3,"MRI - func, MRI - anat",Healthy / Control,,https://doi.org/10.1016/j.neuron.2020.05.007,"Newbold et al., Plasticity and Spontaneous Activity Pulses in Disused Human Brain Circuits, Neuron (2020), https:// doi.org/10.1016/j.neuron.2020.05.007","Dosenbach, Nico U.F."
ds002770,https://openneuro.org/datasets/ds002770/versions/2.0.0,Brain mechanisms underlying episodic future thinking of sustainable behaviors,86,"T1w, bold, events, fieldmap",Healthy / Control,,,Under review,"Billieux, Joël"
ds002773,https://openneuro.org/datasets/ds002773/versions/1.0.0,Retrieval practice facilitates memory updating by enhancing and differentiating medial prefrontal cortex representations,19,"MRI - func, MRI - anat",Healthy / Control,"11-17, 18-25",,,"Xue, Gui"
ds002776,https://openneuro.org/datasets/ds002776/versions/1.0.2,Motor sequence learning,26,"MRI - func, MRI - anat",,"18-25, 26-34",10.1101/2020.01.08.899229,https://www.biorxiv.org/content/10.1101/2020.01.08.899229v2.full,"Diedrichsen, Jörn"
ds002778,https://openneuro.org/datasets/ds002778/versions/1.0.5,UC San Diego Resting State EEG Data from Patients with Parkinson's Disease,31,EEG,Parkinson's Disease,"35-50, 51-65, 66+","10.1523/ENEURO.0151-19.2019, 10.1016/j.nicl.2013.07.013","Nicko Jackson, Scott R. Cole, Bradley Voytek, Nicole C. Swann. Characteristics of Waveform Shape in Parkinson's Disease Detected with Scalp Electroencephalography. eNeuro 20 May 2019, 6 (3) ENEURO.0151-19.2019; DOI: 10.1523/ENEURO.0151-19.2019.  George JS, Strunk J, Mak-McCully R, Houser M, Poizner H, Aron AR. Dopaminergic therapy in Parkinson's disease decreases cortical beta band coherence in the resting state and increases cortical beta band power during executive control. Neuroimage Clin. 2013 Aug 8;3:261-70. doi: 10.1016/j.nicl.2013.07.013. PMID: 24273711; PMCID: PMC3814961.","Swann, Nicole C."
ds002785,https://openneuro.org/datasets/ds002785/versions/2.0.0,AOMIC-PIOP1,216,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,"18-25, 26-34",,To be released on Biorxiv,"Scholte, Steven"
ds002790,https://openneuro.org/datasets/ds002790/versions/2.0.0,Put the name of your experiment here,226,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,18-25,,To be released on Biorxiv,"Scholte, Steven"
ds002791,https://openneuro.org/datasets/ds002791/versions/1.0.0,DataSet1,23,"channels, eeg, electrodes, events",,"18-25, 26-34, 35-50",,,"Hassan, Mahmoud"
ds002793,https://openneuro.org/datasets/ds002793/versions/1.0.1,updating following strong vs weak priors,28,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Young, Liane"
ds002797,https://openneuro.org/datasets/ds002797/versions/1.0.2,CCD,22,"MRI - func, MRI - anat",,26-34,,,"Egner, Tobias"
ds002799,https://openneuro.org/datasets/ds002799/versions/1.0.4,Human es-fMRI Resource: Concurrent deep-brain stimulation and whole-brain functional MRI,26,"MRI - func, MRI - anat, iEEG",,"11-17, 18-25, 26-34, 35-50, 51-65",,,"*equally contributing, †corresponding author"
ds002813,https://openneuro.org/datasets/ds002813/versions/1.0.0,Model-based fMRI reveals co-existing specific and generalized concept representations,38,"MRI - func, MRI - anat",,"18-25, 26-34",10.7554/eLife.59360,Tracking prototype and exemplar representations in the brain across learning,"Zeithamova, D."
ds002814,https://openneuro.org/datasets/ds002814/versions/1.3.0,TODO: name of the dataset,21,"MRI - func, MRI - anat, EEG",,"18-25, 26-34",,,"Khaligh-Razavi, Seyed-Mahdi"
ds002833,https://openneuro.org/datasets/ds002833/versions/1.0.0,DataSet2,20,"channels, eeg, electrodes, events",,"18-25, 35-50",,,"Hassan, Mahmoud"
ds002835,https://openneuro.org/datasets/ds002835/versions/1.0.1,Prospection,26,"MRI - func, MRI - anat",,,,,"Kable, Joseph"
ds002837,https://openneuro.org/datasets/ds002837/versions/2.0.0,Naturalistic Neuroimaging Database,86,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",,,"Skipper, Jeremy I"
ds002841,https://openneuro.org/datasets/ds002841/versions/1.0.1,Intuitive physics with fMRI,29,"MRI - func, MRI - anat",Healthy / Control,,10.7554/eLife.46619,,"Kanwisher, Nancy"
ds002842,https://openneuro.org/datasets/ds002842/versions/1.0.1,L2_SENTENCES,22,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",10.1016/j.neuropsychologia.2020.107381,,"Goldberg, Adele E"
ds002843,https://openneuro.org/datasets/ds002843/versions/1.0.1,Cognitive Training,166,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34",https://doi.org/10.1523/JNEUROSCI.2832-16.2017,"Kable, J. W., Caulfield, M. K., Falcone, M., McConnell, M., Bernardo, L., Parthasarathi, T., Cooper, N., Ashare, R., Audrain-McGovern, J., Hornik, R., Diefenback, P., Lee, F., and Lerman, C. (2017). No effect of commercial cognitive training on brain activity, choice behavior or cognitive performance. Journal of Neuroscience, 37(31), 7390-7402.","Kable, Joseph"
ds002848,https://openneuro.org/datasets/ds002848/versions/1.0.1,mriquality,5,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Maxim, Omar"
ds002868,https://openneuro.org/datasets/ds002868/versions/1.0.1,CAMRI Mouse Brain MRI Data,16,MRI - anat,,,,,"Shih, Yenyu Ian"
ds002870,https://openneuro.org/datasets/ds002870/versions/1.0.1,CAMRI Rat Brain MRI Data,132,MRI - anat,,,,,"Shih, Yenyu Ian"
ds002872,https://openneuro.org/datasets/ds002872/versions/1.3.0,Aging,39,"MRI - func, MRI - anat",,"18-25, 26-34, 51-65, 66+",,,"Kavounoudias, Anne"
ds002873,https://openneuro.org/datasets/ds002873/versions/1.0.0,"Neural mechanisms of musical syntax and tonality, and the effect of musicianship",36,"MRI - func, MRI - anat",,,,,"Cai, Qing"
ds002878,https://openneuro.org/datasets/ds002878/versions/2.0.0,Creative desicion making in soccer,35,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"..., "
ds002879,https://openneuro.org/datasets/ds002879/versions/1.1.1,Brain Correlates of Multisensory Lexical Processing in Adults,32,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",10.1002/hbm.22147; 10.1111/desc.12245,"Brennan, C., Cao, F., Pedroareana-Leal, N., McNorgan, C. & Booth, J. R. Reading acquisition reorganizes the phonological awareness network only in alphabetic systems. Human Brain Mapping. 34, 3354-3368 (2013)., Cao, F., Brennan, C. & Booth, J. R. The brain adapts to orthography with experience: Evidence from English and Chinese. Developmental Science. 18, 785-798 (2015).","Younger, Jessica Wise"
ds002885,https://openneuro.org/datasets/ds002885/versions/1.0.1,DBS Phantom Recordings,2,"coordsystem, channels, meg, 14, 13, 02, 01",,,,,"Florin, Esther"
ds002886,https://openneuro.org/datasets/ds002886/versions/1.1.0,Brain Development of Deductive Reasoning,56,"MRI - func, MRI - anat",Healthy / Control,,10.1093/cercor/bhr389; 10.1002/hbm.22681,"Prado J, Mutreja R & Booth JR (2013). Fractionating the neural substrates of deductive reasoning: Task-dependent contributions of spatial and verbal representations. Cerebral Cortex, 23, 499-507.; Mathieu R, Booth JR & Prado J (2015). Distributed neural representations of logical arguments in school-age children. Human Brain Mapping, 36, 996-1009.","Prado, Jérôme"
ds002893,https://openneuro.org/datasets/ds002893/versions/2.0.0,Auditory-Visual Shift Study,49,EEG,,"18-25, 26-34, 35-50, 51-65, 66+",,,"(curation), Arno Delorme"
ds002896,https://openneuro.org/datasets/ds002896/versions/1.0.0,Resting State fMRI study of non bothersome tinnitus,38,"MRI - anat, MRI - func",Tinnitus / Controls,,10.1089/brain.2019.0712 https://doi.org/10.1101/676429 doi: 10.1007/s00429-014-0944-0 10.1002/hbm.21063,10.1089/brain.2019.0712 https://doi.org/10.1101/676429,"Delon-Martin, Chantal"
ds002898,https://openneuro.org/datasets/ds002898/versions/1.4.2,Monash rsPET-MR,27,"MRI - func, MRI - anat, PET_Dynamic, PET",Healthy / Control,18-25,https://doi.org/10.1101/2020.05.01.071662,"Jamadar, S.D., Ward, P.G.D., Liang, E.X., Orchard, W.R., Chen, Z., Egan, G., 2020. Metabolic and haemodynamic resting-state connectivity of the human brain: a high-temporal resolution simultaneous BOLD-fMRI and FDG-fPET multimodality study (preprint). Neuroscience. https://doi.org/10.1101/2020.05.01.071662","Egan, Gary F."
ds002905,https://openneuro.org/datasets/ds002905/versions/1.0.1,simpcomp,18,"MRI - func, MRI - anat",Healthy / Control,,,,"Bonnasse-Gahot, Laurent"
ds002908,https://openneuro.org/datasets/ds002908/versions/1.0.0,Human MEG recordings during sequential conflict task,13,MEG,Parkinson's Disease,,,https://www.biorxiv.org/content/10.1101/2020.06.09.141713v1,"Litvak, Vladimir"
ds002936,https://openneuro.org/datasets/ds002936/versions/1.0.0,Neuroharmony sample exanple,3,MRI - anat,,,,Neuroharmony: A new tool for harmonizing volumetric MRI data from unseen scanners,"Garcia-Dias, Rafael"
ds002938,https://openneuro.org/datasets/ds002938/versions/1.0.1,Task-Dependent Effort-Induced Connectivity,30,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,https://doi.org/10.1523/JNEUROSCI.2948-19.2020,"Verguts, Tom"
ds002940,https://openneuro.org/datasets/ds002940/versions/1.0.1,SoccerCAN,24,"MRI - anat, MRI - func",,,,,"Keator, DB"
ds002979,https://openneuro.org/datasets/ds002979/versions/1.0.0,narrative listening,1,"T1w, bold, fieldmap",,,,,"Zhang, Ruiqing"
ds002982,https://openneuro.org/datasets/ds002982/versions/1.0.0,_test_julien,1,MRI - anat,,,,,"Bear, BIDS the"
ds002989,https://openneuro.org/datasets/ds002989/versions/1.0.0,Delay Discounting Bidding,40,"T1w, bold, events",,,https://doi.org/10.1523/JNEUROSCI.0400-13.2013,"Cooper, N., Kable, J. W., Kim, B. K., & Zauberman, G. (2013). Brain activity in valuation regions while thinking about the future predicts individual discount rates. Journal of Neuroscience, 33(32), 13150-13156.","Kable, Joseph"
ds002994,https://openneuro.org/datasets/ds002994/versions/1.0.3,fribbles_fmri,56,"MRI - func, MRI - anat",,,10.1523/JNEUROSCI.0241-21.2021,10.1523/JNEUROSCI.0241-21.2021,"Schonberg, Tom"
ds002995,https://openneuro.org/datasets/ds002995/versions/1.0.1,Taste Quality Representation in the Human Brain,18,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",https://doi.org/10.1523/JNEUROSCI.1751-19.2019,"Avery et al. 2020, Taste Quality Representation in the Human Brain, The Journal of Neuroscience, January 29, 2020 40(5):1042–1052","Martin, Alex"
ds003004,https://openneuro.org/datasets/ds003004/versions/1.1.1,Emotion Study,34,EEG,,,,,"Makeig, Scott"
ds003007,https://openneuro.org/datasets/ds003007/versions/1.0.1,"Two sessions of resting state with closed eyes for patients with depression in treatment course (NFB, CBT or No treatment groups)",29,"MRI - func, MRI - anat",Depression,"18-25, 26-34, 35-50, 51-65",,,"ED, Petrovskii"
ds003011,https://openneuro.org/datasets/ds003011/versions/1.2.3,Social Processes Initiative in Neurobiology of the Schizophrenia(s) Traveling Human Phantoms,4,"MRI - dwi, MRI - anat, MRI - func",,,,,"Voineskos, Aristotle"
ds003012,https://openneuro.org/datasets/ds003012/versions/1.0.4,action-in-auctions,29,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Klucharev, V."
ds003017,https://openneuro.org/datasets/ds003017/versions/1.0.3,Budapest,25,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Gobbini, M. Ida"
ds003020,https://openneuro.org/datasets/ds003020/versions/3.0.0,An MRI dataset during a passive natural language listening tast,9,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Huth, Alexander G."
ds003027,https://openneuro.org/datasets/ds003027/versions/1.2.0,plp_nf1_dMRI_fMRI,23,"MRI - func, MRI - anat, MRI - dwi",,,,,"Kahn, Itamar"
ds003029,https://openneuro.org/datasets/ds003029/versions/1.0.7,iEEG Fragility Epileptogenic Zone,35,iEEG,Epilepsy,"11-17, 18-25, 26-34, 35-50, 51-65",https://doi.org/10.1101/862797,Nodal Fragility of Intracranial EEG Networks: Towards an EEG Fingerprint for the Epileptogenic Zone,"Sarma, Sridevi"
ds003037,https://openneuro.org/datasets/ds003037/versions/2.1.0,SUDMEX_TMS: The Mexican dataset of an rTMS clinical trial on cocaine use disorder patients.,53,"MRI - dwi, MRI - anat, MRI - func",cocaine use disorder,"18-25, 26-34, 35-50",10.1101/2020.07.15.20154708,Clinical and functional connectivity outcomes of 5-Hz repeated transcranial magnetic stimulation as an add-on treatment in cocaine use disorder: a double-blind randomized controlled trial.,"Garza-Villarreal, Eduardo A."
ds003039,https://openneuro.org/datasets/ds003039/versions/1.0.2,free walking study,19,EEG,Healthy / Control,"18-25, 26-34",,,"Scanlon, Joanna"
ds003043,https://openneuro.org/datasets/ds003043/versions/1.0.0,Dichoptic Magno/Parvo,3,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Weldon, Kimberly B."
ds003047,https://openneuro.org/datasets/ds003047/versions/1.0.0,DTI data from 'Fiber architecture in the ventromedial striatum and its relation with the bed nucleus of the stria terminalis',11,"MRI - dwi, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",,,"U, Klose"
ds003052,https://openneuro.org/datasets/ds003052/versions/2.0.1,PennMTLAtlas,25,MRI - anat,,,,,"Yushkevich, Paul"
ds003059,https://openneuro.org/datasets/ds003059/versions/1.0.0,Neural correlates of the LSD experience revealed by multimodal neuroimaging,15,"MRI - func, MRI - anat",,,"https://doi.org/10.1073/pnas.1518377113, https://doi.org/10.1016/j.cub.2016.02.010, https://doi.org/10.1007/s00213-015-4014-y, https://doi.org/10.1016/j.euroneuro.2016.03.018, https://doi.org/10.1002/hbm.23234, https://doi.org/10.1038/s41598-017-17546-0",,"al., Robin Carhart-Harris et"
ds003061,https://openneuro.org/datasets/ds003061/versions/1.1.2,P300 sound task,13,EEG,,"18-25, 26-34, 35-50, 51-65",,"Delorme, A. (2020) EEG data from an auditory oddball task. Data archive openneuro.org. 10.18112/openneuro.ds003061.v1.0.0.","Delorme, Arnaud"
ds003076,https://openneuro.org/datasets/ds003076/versions/1.0.1,Brain Correlates of Deductive Reasoning in Adults,17,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",10.1093/cercor/bhr389,"Prado J, Mutreja R, & Booth JR (2012). Fractionating the Neural Substrates of Transitive REasoning: Task-Dependent Contributions of Spatial and Verbal Representations. Cerebral Cortex, 23, 499-507.","Prado, Jérôme"
ds003078,https://openneuro.org/datasets/ds003078/versions/1.0.0,PROBE iEEG,6,"MRI - anat, iEEG",Epilepsy,,,,"KOECHLIN, Etienne"
ds003082,https://openneuro.org/datasets/ds003082/versions/1.0.1,Auditory Cortex Mapping Dataset,1,"MRI - anat, MEG",,18-25,,,"Villers-Sidani, Etienne de"
ds003083,https://openneuro.org/datasets/ds003083/versions/1.0.1,Brain Correlates of Math Processing in Adults,26,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",10.1002/hbm.21159,"Prado J, Mutreja R, Zhang H, Mehta R, Desroches AS, Minas J & Booth JR (2011). Distinct Representations of Subtraction and Multiplication in the Neural Systems for Numerosity and Language. Human Brain Mapping, 32, 1932-1947.","Zhang, Hongchuan"
ds003085,https://openneuro.org/datasets/ds003085/versions/1.0.0,Temporal Dynamics of Emotional Music,39,"MRI - func, MRI - anat",,,,Dynamic intersubject neural synchronization reflects affective responses to sad music,"Kaplan, Jonas"
